ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
72,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Somewhat agree,A little disagree,Often,Often,Some of the time,All of the time,Often,Often,Often,Some of the time,All of the time,Some of the time,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,3,107,55,80
73,18-33,Female,Female,Mixed or Multiple Ethnic Groups,,Good,05-Oct,Somewhat agree,Somewhat agree,A little disagree,A little agree,A little agree,Strongly disagree,Strongly disagree,A little agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,A little disagree,Some of the time,Rarely,Rarely,Often,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Rarely,Some of the time,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,99,41,83
74,18-33,Female,,Other British,"Postgraduate Qualification, Masters",Very Good,05-Oct,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,Strongly disagree,A little disagree,Neither agree nor disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,A little agree,Neither agree nor disagree,Often,Rarely,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Neutral,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,2,96,45,69
75,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,20-25,A little agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,A little agree,Often,Some of the time,Rarely,Often,Some of the time,Often,Often,Some of the time,Often,Often,Often,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Strongly disagree,Very strongly disagree,Very strongly agree,Strongly disagree,Neutral,Very strongly disagree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,4,95,49,53
77,18-33,Female,,Other British,Undergraduate Degree,Fair,0-5,A little disagree,A little agree,A little agree,Somewhat agree,A little agree,A little disagree,Strongly disagree,A little agree,A little agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,A little disagree,A little agree,A little disagree,A little agree,Often,Rarely,None of the time,Rarely,None of the time,Often,Some of the time,Some of the time,Rarely,Some of the time,Often,Rarely,Some of the time,Rarely,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,4,87,36,56
78,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,05-Oct,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,A little agree,A little disagree,Somewhat agree,A little disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,All of the time,Often,Some of the time,Often,Often,Often,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Neutral,Mildly disagree,Very strongly agree,Mildly agree,Neutral,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,3,107,54,64
79,34-48,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,A little agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,A little disagree,Strongly agree,A little agree,Somewhat agree,Somewhat disagree,Strongly disagree,A little agree,Somewhat agree,A little agree,Often,Often,Some of the time,Rarely,Some of the time,Often,Often,Often,Some of the time,Often,Often,Often,Often,Some of the time,Very strongly agree,Very strongly agree,Mildly disagree,Mildly disagree,Very strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very strongly agree,Strongly disagree,Strongly disagree,2,99,50,46
80,18-33,Female,,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Poor,15-20,Somewhat agree,A little agree,Somewhat agree,A little agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,A little disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Some of the time,Rarely,Often,Rarely,Often,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Rarely,Mildly disagree,Mildly agree,Strongly agree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,5,100,43,50
82,18-33,Female,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,None,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Some of the time,Often,Rarely,All of the time,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Often,Often,Some of the time,Strongly agree,Very strongly agree,Mildly agree,Mildly disagree,Very strongly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,107,49,67
83,34-48,Female,,Other British,Undergraduate Degree,Very Good,0-5,Somewhat agree,A little agree,Strongly agree,A little agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,A little disagree,Somewhat agree,Often,Some of the time,Some of the time,Often,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,97,51,48
84,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,Strongly agree,Somewhat agree,A little agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,2,105,48,67
85,18-33,Male,,Scottish,Undergraduate Degree,Good,0-5,A little agree,A little disagree,A little disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,A little agree,Somewhat disagree,Somewhat agree,Often,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,3,78,42,72
86,34-48,Female,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Fair,None,Somewhat agree,A little agree,Strongly disagree,Somewhat agree,A little disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,Rarely,Rarely,None of the time,None of the time,None of the time,Rarely,Rarely,None of the time,None of the time,Rarely,None of the time,Some of the time,Some of the time,Rarely,Very strongly disagree,Very strongly disagree,Strongly agree,Strongly agree,Very strongly disagree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,4,80,24,54
87,18-33,Female,,Scottish,Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,A little disagree,A little disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,A little agree,A little agree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,Neither agree nor disagree,Often,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,3,87,48,63
88,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Good,25-30,Strongly agree,Somewhat agree,Strongly agree,A little agree,A little agree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Some of the time,Often,Some of the time,None of the time,Often,All of the time,Often,Often,Often,All of the time,All of the time,Some of the time,Often,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,3,113,53,75
89,18-33,Male,Male,Other British,Undergraduate Degree,Very Good,None,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,Somewhat disagree,Somewhat disagree,A little agree,Strongly agree,Strongly agree,A little agree,Somewhat disagree,A little disagree,Somewhat disagree,A little disagree,Somewhat disagree,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Strongly disagree,Mildly disagree,Mildly agree,Neutral,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,Mildly agree,Mildly agree,2,72,38,52
90,18-33,Female,Female,Polish,Undergraduate Degree,Good,None,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,A little disagree,A little disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Rarely,Often,None of the time,Often,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,3,86,36,60
91,18-33,Female,,Other white ethnic group,Undergraduate Degree,Very Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Some of the time,Often,Often,Often,Often,Often,All of the time,Often,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,2,104,53,75
93,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,05-Oct,A little agree,Somewhat disagree,Neither agree nor disagree,A little agree,A little agree,Somewhat disagree,Neither agree nor disagree,A little agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Somewhat disagree,A little agree,Somewhat agree,Neither agree nor disagree,Rarely,Some of the time,Often,Rarely,Some of the time,Some of the time,Often,Some of the time,Rarely,Some of the time,Often,Rarely,Some of the time,Some of the time,Mildly disagree,Very strongly disagree,Neutral,Neutral,Very strongly disagree,Neutral,Strongly agree,Mildly disagree,Neutral,Very strongly disagree,Mildly agree,Mildly disagree,4,81,41,39
94,18-33,Female,Female,Irish,Undergraduate Degree,Very Good,15-20,A little disagree,Somewhat agree,Somewhat disagree,Strongly agree,A little agree,A little disagree,Somewhat disagree,A little disagree,A little disagree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,A little disagree,A little disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Rarely,Rarely,None of the time,Often,Rarely,Rarely,Some of the time,Rarely,Often,Rarely,Often,Often,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,80,39,82
95,18-33,Female,,,,Very Good,0-5,Neither agree nor disagree,A little agree,A little agree,Neither agree nor disagree,Neither agree nor disagree,A little disagree,A little agree,A little agree,A little agree,A little agree,Strongly agree,Somewhat agree,A little disagree,Neither agree nor disagree,A little agree,Somewhat agree,A little agree,Neither agree nor disagree,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Rarely,Often,Some of the time,Often,Often,Rarely,Some of the time,Rarely,Strongly disagree,Strongly disagree,Mildly agree,Very strongly disagree,Mildly disagree,Mildly agree,Neutral,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,2,77,43,44
96,18-33,Female,Female,Scottish,Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,A little disagree,A little agree,Neither agree nor disagree,A little disagree,Somewhat disagree,A little agree,A little agree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little disagree,A little disagree,A little agree,Neither agree nor disagree,Some of the time,Often,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Rarely,Rarely,Often,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,3,89,42,67
97,18-33,Female,Female,Scottish,Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Often,Often,None of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Mildly agree,Strongly agree,3,110,49,78
98,18-33,Female,Non-binary / third gender,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,0-5,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,A little agree,Strongly agree,Strongly disagree,Strongly agree,A little agree,Somewhat disagree,A little agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,None of the time,Rarely,Some of the time,None of the time,Some of the time,None of the time,Mildly agree,Mildly agree,Neutral,Very strongly disagree,Strongly disagree,Strongly disagree,Very strongly disagree,Very strongly disagree,Mildly disagree,Mildly agree,Very strongly disagree,Mildly disagree,4,84,34,33
99,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Excellent,0-5,Somewhat agree,Somewhat agree,A little agree,A little agree,A little disagree,A little agree,A little disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little disagree,Somewhat agree,A little agree,Often,Often,Some of the time,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,Often,Often,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,1,97,48,78
100,18-33,Male,Male,Other British,Undergraduate Degree,Very Good,None,A little disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,A little disagree,Neither agree nor disagree,Strongly agree,Rarely,Some of the time,Rarely,Some of the time,Rarely,Often,Often,Rarely,Rarely,Some of the time,Often,Some of the time,Rarely,Rarely,Mildly agree,Mildly agree,Very strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly disagree,Very strongly disagree,Strongly disagree,Mildly agree,Mildly agree,Strongly disagree,2,94,38,45
101,18-33,Female,,Scottish,Undergraduate Degree,Good,05-Oct,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,A little disagree,A little agree,Somewhat disagree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,A little disagree,A little agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Often,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,All of the time,Often,All of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly disagree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,3,96,54,72
102,18-33,Female,,Scottish,Undergraduate Degree,Very Good,0-5,Somewhat agree,A little agree,A little disagree,A little agree,Neither agree nor disagree,A little disagree,Somewhat disagree,A little disagree,A little agree,A little disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,A little disagree,A little disagree,Neither agree nor disagree,Often,Some of the time,Rarely,Often,Some of the time,Rarely,Rarely,Rarely,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Mildly agree,Mildly disagree,2,85,38,46
103,18-33,Female,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,All of the time,All of the time,Often,All of the time,Often,Often,Some of the time,Often,Often,All of the time,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,2,124,59,77
104,18-33,Male,Male,Other white ethnic group,Undergraduate Degree,Excellent,0-5,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,A little agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Often,All of the time,Some of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,1,118,63,76
105,18-33,Female,Female,Scottish,Undergraduate Degree,Very Good,05-Oct,Somewhat agree,Strongly agree,Somewhat agree,A little agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat disagree,A little agree,Somewhat agree,Some of the time,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,105,46,82
106,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,A little disagree,Some of the time,Often,Rarely,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Often,Often,Often,Mildly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,1,99,51,76
107,18-33,Female,,Other white ethnic group,Undergraduate Degree,Good,05-Oct,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,Neither agree nor disagree,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,3,95,43,71
108,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,A little agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,A little agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,A little disagree,Somewhat agree,Somewhat agree,A little agree,A little agree,Somewhat agree,A little disagree,Somewhat disagree,A little disagree,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Neutral,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Neutral,Neutral,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Neutral,3,78,39,59
109,18-33,Female,Female,,,Good,05-Oct,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,A little disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,Strongly agree,A little agree,A little agree,A little agree,Somewhat agree,Neither agree nor disagree,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,Mildly agree,Mildly agree,Strongly disagree,Very strongly disagree,Mildly agree,Strongly agree,Very strongly agree,Very strongly disagree,Strongly agree,Strongly agree,Very strongly disagree,Strongly agree,3,88,45,51
110,18-33,Male,Male,Irish,Undergraduate Degree,Excellent,0-5,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Often,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Often,Some of the time,Often,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,111,53,84
111,18-33,Female,Male,Scottish,Undergraduate Degree,Poor,20-25,A little disagree,Neither agree nor disagree,A little disagree,A little agree,A little agree,Neither agree nor disagree,Neither agree nor disagree,A little agree,A little disagree,A little disagree,A little agree,A little agree,A little agree,Neither agree nor disagree,A little agree,A little disagree,Somewhat disagree,A little disagree,,Rarely,Some of the time,Often,Rarely,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,Strongly agree,Mildly agree,Strongly agree,5,69,35,66
112,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Fair,15-20,Somewhat agree,A little disagree,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,A little disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,A little agree,Somewhat agree,A little agree,Somewhat agree,Rarely,Some of the time,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Mildly agree,Mildly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,4,86,42,59
113,18-33,Female,,Other British,"Postgraduate Qualification, Masters",Excellent,05-Oct,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Often,All of the time,Some of the time,Rarely,Often,Often,Often,Often,Often,Often,Often,All of the time,All of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,1,106,56,80
114,18-33,Female,,Other white ethnic group,Undergraduate Degree,Very Good,None,A little disagree,A little disagree,A little agree,A little disagree,A little disagree,A little agree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,A little agree,Strongly agree,Strongly agree,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Rarely,Some of the time,Rarely,Often,Some of the time,All of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,98,47,81
