ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q1,Q2,Q3,SC0,SC1,SC2
182,33-48,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Agree Somewhat,Don't Agree or Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree Somewhat,Don't Agree or Disagree,Strongly Agree,Agree,Somewhat Disagree,Agree Somewhat,Disagree,Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree Somewhat,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Extremely characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Strongly disagree,Disagree,Disagree,50,152,114
183,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Disagree,Agree Somewhat,Agree,Strongly Agree,Don't Agree or Disagree,Strongly Agree,Strongly Agree,Disagree,Agree Somewhat,Agree,Agree Somewhat,Strongly Agree,Don't Agree or Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Don't Agree or Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Disagree,Disagree,Mostly agree,61,127,118
184,,Female,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Don't Agree or Disagree,Somewhat Disagree,Strongly Disagree,Agree,Agree Somewhat,Agree,Agree,Don't Agree or Disagree,Strongly Agree,Agree Somewhat,Somewhat Disagree,Don't Agree or Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Mostly disagree,Mostly disagree,Mostly disagree,25,147,84
185,33-48,Female,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Somewhat,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree Somewhat,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely characteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,,Extremely characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Strongly disagree,Strongly disagree,Agree,57,145,111
186,18-33,,Non-binary / third gender,Other British,Undergraduate Degree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree Somewhat,Disagree,Agree,Don't Agree or Disagree,Agree Somewhat,Don't Agree or Disagree,Strongly Agree,Don't Agree or Disagree,Don't Agree or Disagree,Strongly Agree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Agree Somewhat,Don't Agree or Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree Somewhat,Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Strongly Agree,Agree Somewhat,Disagree,Don't Agree or Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Somewhat uncharacteristic of me,Strongly disagree,Strongly disagree,Strongly disagree,43,137,89
187,18-33,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Don't Agree or Disagree,Disagree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Agree,Somewhat Disagree,Agree,Agree Somewhat,Don't Agree or Disagree,Agree,Agree Somewhat,Disagree,Disagree,Agree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Disagree,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Disagree,Agree Somewhat,Uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Mostly agree,Mostly agree,Agree,47,126,108
188,18-33,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree Somewhat,Agree,Agree Somewhat,Agree,Agree Somewhat,Agree,Somewhat Disagree,Don't Agree or Disagree,,Strongly Agree,Don't Agree or Disagree,Don't Agree or Disagree,Somewhat Disagree,Agree,Agree,Don't Agree or Disagree,Don't Agree or Disagree,Agree,Agree,Disagree,Don't Agree or Disagree,Agree Somewhat,Don't Agree or Disagree,Don't Agree or Disagree,Agree,Don't Agree or Disagree,Agree,Agree,Don't Agree or Disagree,Somewhat Disagree,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Mostly disagree,Disagree,Disagree,34,138,70
189,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Don't Agree or Disagree,Agree,Agree,Agree Somewhat,Agree Somewhat,Strongly Agree,Strongly Agree,Agree Somewhat,Agree,Agree,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Somewhat Disagree,Strongly Disagree,Don't Agree or Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Agree,Agree,Agree,Agree,Don't Agree or Disagree,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Agree,Agree,Agree,33,147,107
190,18-33,Female,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Strongly Agree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Strongly Agree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree Somewhat,Disagree,Agree Somewhat,Characteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Disagree,Disagree,Disagree,50,137,100
193,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Strongly Agree,Strongly Agree,Agree Somewhat,Strongly Agree,Strongly Agree,Disagree,Agree,Agree Somewhat,Agree Somewhat,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree,Agree,Agree,Somewhat Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Disagree,Disagree,Mostly disagree,41,160,93
194,18-33,Female,Female,Irish,Undergraduate Degree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Disagree,Agree,Agree Somewhat,Agree Somewhat,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree Somewhat,Agree,Agree Somewhat,Somewhat Disagree,Agree,Agree,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Disagree,Disagree,Mostly agree,31,137,70
195,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree Somewhat,Disagree,Agree Somewhat,Agree,Somewhat Disagree,Agree Somewhat,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Strongly Agree,Somewhat Disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Disagree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Mostly agree,Agree,Agree,59,143,76
196,18-33,Female,Female,Other (not listed),Undergraduate Degree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly Agree,Don't Agree or Disagree,Somewhat Disagree,Agree,Agree Somewhat,Agree,Agree,Don't Agree or Disagree,Agree Somewhat,Strongly Agree,Agree,Agree Somewhat,Disagree,Agree,Agree,Don't Agree or Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Somewhat,Somewhat Disagree,Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Agree,Agree,Agree,37,150,78
197,18-33,Female,Female,Other British,Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree Somewhat,Agree,Agree Somewhat,Agree,Don't Agree or Disagree,Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,,Agree,Disagree,Strongly Disagree,Agree Somewhat,Agree,Strongly Agree,Disagree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Disagree,Disagree,Mostly disagree,53,141,68
198,18-33,Female,Female,Other (not listed),Undergraduate Degree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree Somewhat,Agree,Don't Agree or Disagree,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Agree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Agree,Agree,Somewhat Disagree,Don't Agree or Disagree,Don't Agree or Disagree,Disagree,Don't Agree or Disagree,Agree,Agree Somewhat,Agree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Mostly disagree,Mostly disagree,Disagree,33,144,82
199,18-33,Female,,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Don't Agree or Disagree,Agree,Agree,Agree Somewhat,Strongly Agree,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Don't Agree or Disagree,Don't Agree or Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Disagree,Agree Somewhat,Somewhat Disagree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Disagree,Don't Agree or Disagree,Don't Agree or Disagree,Don't Agree or Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Disagree,Disagree,Disagree,43,134,71
