ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q4,Q47_1,Q47_2,Q47_3,Q47_4,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q48_8,Q48_9,Q48_10,Q48_11,Q48_12,Q48_13,Q48_14,Q48_15,Q48_16,Q1,Q2,Q3,Q4,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16
145,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,I didn't do this at all,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,Several times a week,Several times a day,Several times a day,Once a week,All the time,Several times a day,Several times a day,Several times a month,Several times a day,Once a day,Several times a day,Once an hour,Once an hour,Several times a day,Once a day,Several times a day,Several times a day,Several times a day,Once a week,Never,Several times a week,Several times a month,Never,Never,Once a day,Once a day,Several times a week,Several times a week,Once a week,Once a week,Never,Yes,501-750,51-100,0,0,Several times a day,Several times a day,Once a day,Never,Once a month,Several times a week,Once a week,Once a week,Once a day,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Sometimes,Sometimes,Fairly Often,Fairly Often,23,57,8,23,24,10,63,5,9,22,9,42,13,23,10,8,10
146,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a day,Once a day,Once a day,Once a day,Several times a day,Several times an hour,Once an hour,Several times a week,Several times a day,Several times an hour,Once an hour,Once an hour,Several times a day,Once a day,Once a day,Once a day,Several times a month,Several times a month,Several times a day,Several times a week,Once a day,Several times a day,Once a month,Once a month,Once a month,Yes,751 or more,251-375,51-100,Jan-50,Several times a day,Several times a day,Several times a day,Several times a month,Several times a month,Once a month,Several times a day,Several times a day,Several times a day,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fairly Often,Almost Never,Almost Never,Very Often,14,70,13,28,21,13,65,13,15,25,6,50,20,24,13,8,14
147,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,Several times a day,Once a day,Several times a day,Several times a week,Several times an hour,Several times a week,Several times an hour,Once a day,Once a day,Several times a week,Several times a week,Several times a day,Several times a week,Several times a week,Several times a month,Several times a day,Several times a day,Once a day,Several times a week,Never,Several times a week,Never,Never,Never,Several times a week,Several times a week,Never,Never,Never,Never,Never,Yes,176-250,176-250,0,0,Once a day,Once a day,Several times a week,Never,Once a month,Once a day,Once a month,Several times a month,Several times a day,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Almost Never,21,66,7,25,24,11,50,6,7,12,3,38,12,18,10,10,18
148,18-33,Female,,Other British,Undergraduate Degree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I did this a lot,Several times a day,Several times a day,Several times a day,Several times a week,Several times an hour,Several times a day,Several times an hour,Several times a month,Several times a day,Once a day,Several times a day,Several times an hour,Several times a day,Several times a week,Once a week,Several times an hour,Several times an hour,Once a week,Once a week,Never,Several times a week,Several times a day,Several times a week,Several times a week,Several times a week,Several times a day,Several times a day,Several times a day,Once a month,Never,Never,Yes,501-750,376-500,Jan-50,0,Once a day,Once a day,Several times a day,Never,Once a month,Several times a day,Several times a day,Once a week,Several times a day,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Almost Never,Fairly Often,39,71,10,26,22,10,63,5,17,26,4,47,18,16,13,11,13
149,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Strongly agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a lot,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,Several times a day,Several times a day,Several times a day,Once a day,Several times a week,Several times a week,Several times a week,Several times a month,Several times a day,Several times a day,Once a day,Several times a day,Several times a day,Several times a week,Several times a week,Several times a day,Several times a day,Several times a day,Once a week,Once a month,Several times a day,Once a day,Once a month,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Several times a month,Never,Once a month,Yes,751 or more,101-175,Jan-50,Jan-50,Several times a day,Once a day,Several times a week,Once a day,Once a day,Once a day,Once a day,Several times a week,Several times a week,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Fairly Often,Fairly Often,Almost Never,29,74,5,27,17,8,58,6,15,18,6,52,17,21,8,11,14
150,18-33,Female,Female,Scottish,Undergraduate Degree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a lot,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,Several times a day,Once a day,Once a day,Several times a week,Several times a day,Once a day,Several times a day,Several times a month,Several times a day,Several times a day,Several times a day,Several times a day,Once a week,Once a month,Never,Once an hour,Several times a day,Several times a day,Once a day,Never,Several times a week,Never,Never,Never,Several times a week,Several times a day,Several times a week,Several times a week,Several times a week,Several times a week,Never,Yes,501-750,501-750,0,0,Several times a day,Several times a day,Several times a day,Never,Never,Several times a day,Several times a day,Once a week,Once a day,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Almost Never,Fairly Often,Fairly Often,Never,34,78,3,24,21,9,50,7,7,22,11,47,18,22,8,15,13
151,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,I did this a lot,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a little bit,I did this a lot,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,Several times a day,Several times a month,Several times a day,Several times a month,All the time,Never,All the time,Never,Several times a day,All the time,All the time,Several times a day,Several times an hour,Once a day,Several times a day,All the time,All the time,All the time,Once a week,Several times a day,Once a week,Never,Several times a week,Once a week,Several times a month,All the time,Several times a week,Several times a week,Several times a week,Never,Never,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Several times a day,Several times a day,Several times a day,Several times an hour,Once a day,Once a day,All the time,Several times a week,Several times an hour,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Very Often,Almost Never,Sometimes,Very Often,23,71,13,20,21,12,76,11,10,23,7,66,8,16,14,7,11
152,18-33,Female,,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a little bit,I didn't do this at all,,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a lot,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Once an hour,Once an hour,Once an hour,Once an hour,Several times an hour,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once an hour,Several times a day,Once a week,Several times a day,Once a month,Several times a day,Several times a week,Several times a day,Once a day,Once a day,All the time,Once a day,Several times a day,Never,Never,Never,Yes,101-175,51-100,51-100,Jan-50,Several times a day,Once a week,Never,Never,Once a month,Once a month,Once a week,Never,Several times a day,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Sometimes,Fairly Often,Fairly Often,Sometimes,29,57,6,32,20,14,64,9,19,29,3,29,12,20,8,11,9
153,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,Several times a day,Once a day,Several times a day,Several times a day,Several times a day,Once a month,Once a day,Once a week,Several times a day,Several times a day,Several times a day,Once a day,Several times a day,Once a week,Several times a day,Once an hour,Once a week,Several times a day,Once a day,Once a day,Once a month,Several times a month,Several times a day,Several times a month,Once a week,Once a week,Once a week,Several times a month,Once a month,Once a month,Once a month,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Once a month,Once a month,Once a month,Never,Never,Once a month,Once a month,Never,Never,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Fairly Often,Almost Never,36,80,6,27,20,6,57,12,12,15,6,14,8,24,7,12,14
154,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,I did this a medium amount,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a little bit,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,Several times a day,Several times a day,Several times a day,Several times a day,Several times an hour,Several times a day,Several times an hour,Several times a day,Several times a day,Several times a day,Several times an hour,All the time,Several times a day,Once a day,,Several times a week,Several times an hour,Once an hour,Never,Never,Never,Several times a day,Never,Several times a month,Several times a day,Several times a day,Several times a day,Several times a day,Never,Never,Never,Yes,751 or more,176-250,101-175,Jan-50,Several times an hour,Several times an hour,Several times a day,Once a day,Once a month,Once an hour,Once a day,Several times a week,Several times a day,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Fairly Often,Fairly Often,Sometimes,Very Often,32,81,10,28,26,14,60,2,9,28,3,59,20,24,15,14,10
155,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,Several times a day,Several times a week,Once a day,Several times a month,Several times a day,Several times a month,Several times a week,Once a day,Once a day,Once a day,Once a day,Several times a week,Once a day,Once a week,Several times a week,Several times a day,Several times a day,Once a week,Once a month,Several times a month,Once a day,Several times a week,Once a day,Once a day,Once a week,Once a day,Once a day,Once a day,Once a day,Once a week,Several times a day,Yes,251-375,176-250,176-250,Jan-50,Once a day,Once an hour,Several times a day,Several times a week,Several times a week,Several times a day,Once a day,Several times a week,Several times a day,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Fairly Often,Sometimes,Sometimes,Sometimes,34,68,9,21,16,9,52,5,17,22,17,56,18,21,10,11,16
156,18-33,Male,Male,Other British,"Postgraduate Qualification, Masters",Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a week,Once a day,Several times a week,Once a day,Several times a week,Several times a day,Several times a week,Several times a day,Once a day,Several times a week,Once a day,Once a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Never,Never,Once a day,Several times a day,Several times a day,Once a day,Several times a day,Several times a month,Once a week,Yes,376-500,251-375,51-100,Jan-50,Several times a week,Several times a week,Never,Never,Never,Once a week,Several times a week,Never,Once a month,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Fairly Often,Sometimes,Sometimes,41,55,7,26,19,10,54,14,13,26,14,25,18,21,9,4,16
157,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a lot,I did this a little bit,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Once an hour,Once a day,Several times a day,Several times a week,Several times a month,Once a month,Several times a day,Never,Several times a day,Never,Once a day,Several times a day,Once a day,Never,Never,Several times an hour,Several times an hour,Several times an hour,Never,Never,Several times a day,Several times a day,Several times a month,Once a day,Once a day,Once a day,Several times a day,Several times a day,Once a week,Never,Never,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Once a week,Once a week,Once a month,Once a month,Once a month,Several times a week,Several times a day,Several times a week,Several times a day,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Fairly Often,Sometimes,Sometimes,38,71,7,26,19,3,47,2,17,26,6,38,8,24,9,11,13
158,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,I did this a lot,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a little bit,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I did this a lot,I did this a lot,I did this a little bit,I didn't do this at all,Several times an hour,Several times a day,Several times a day,Several times a week,Several times a day,Several times a week,Several times a week,Once a month,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times a month,Once an hour,Several times a day,Several times a day,Once a month,Never,Once a month,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Once a month,Several times a month,Never,Never,Never,Yes,501-750,251-375,501-750,0,Several times a day,Several times a day,Never,Several times a day,Several times a week,Several times a week,Several times a day,Several times a week,Several times a week,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Almost Never,Very Often,Almost Never,Almost Never,33,74,5,28,19,7,58,3,12,15,3,49,23,15,9,12,18
159,18-33,Female,,Other (not listed),Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,I did this a lot,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,Once a day,Several times a day,All the time,Once a day,Never,Several times a day,All the time,Once a month,All the time,Several times a day,Several times an hour,Several times a day,Several times a day,Once a month,Several times a week,All the time,All the time,Several times a day,Once a month,Once a month,Once a month,Once a month,Once a day,Once a month,Once a day,Once a day,Once a week,Once a day,Once a month,Never,Never,No,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat disagree,Somewhat agree,Somewhat disagree,Very Often,Almost Never,Sometimes,Very Often,42,81,13,29,18,9,67,4,10,22,4,0,0,30,15,15,8
160,,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,I did this a medium amount,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,All the time,All the time,All the time,All the time,Several times a month,Never,Several times a month,Several times a month,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times a month,Several times a day,Several times a day,Several times a day,Never,Never,Several times a month,Never,Several times a week,Several times a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a month,Once a month,Yes,0,Jan-50,Jan-50,Jan-50,Once a month,Once a month,Once a month,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Almost Never,Fairly Often,Sometimes,Sometimes,27,67,6,40,13,4,57,2,9,28,11,12,7,24,11,6,10
161,18-33,Female,Female,Other British,"Postgraduate Qualification, Masters",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,Once an hour,Several times a day,Once an hour,Several times a week,Several times an hour,Once an hour,Several times a day,,Once a month,All the time,All the time,All the time,All the time,Once a day,All the time,All the time,All the time,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Several times a week,All the time,All the time,All the time,Never,Never,Never,Yes,751 or more,251-375,376-500,51-100,Once an hour,All the time,Never,Never,Several times a week,All the time,All the time,All the time,All the time,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Almost Never,Almost Never,Fairly Often,24,89,11,28,22,8,78,12,18,35,3,65,25,25,9,11,12
