ID,AgeBracket,Gender,Ethnicity,HighestEducation,HRQOL1,HRQOL2,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,HRQOL,PWB,WEMWBS,MSPSS
208,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,6,6,6,5,6,6,7,5,6,5,5,6,3,114,54,69
209,18-33,Male,Scottish,Undergraduate Degree,Very Good,0-5,5,5,6,5,5,7,7,5,7,3,6,6,2,88,39,67
210,18-33, ,Other white ethnic group,Undergraduate Degree,Excellent,None,1,1,7,6,2,6,6,6,7,1,6,7,1,96,36,56
211,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,1,1,6,4,1,7,6,6,7,1,6,7,2,70,33,53
214,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,5,5,3,2,6,4,4,2,4,5,2,4,3,101,42,46
215,18-33, , , ,Very Good,5-10,6,6,2,1,7,6,6,1,6,6,3,6,2,99,48,56
216,18-33,Female,Scottish,Undergraduate Degree,Good,0-5,3,5,4,2,5,6,5,2,6,3,3,5,3,71,33,49
217,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,3,6,5,5,3,3,5,3,5,5,3,5,2,95,44,51
218,18-33,Male,"Pakistani, Pakistani Scottish or Pakistani British",Undergraduate Degree,Very Good,0-5,7,7,6,1,7,5,5,2,7,7,5,7,2,98,44,66
219,18-33,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Good,25-30,7,7,7,7,7,5,5,7,5,7,7,5,3,93,55,76
220,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,7,7,7,7,6,7,7,7,7,6,7,7,1,103,48,82
221,18-33, ,Scottish,Undergraduate Degree,Very Good,0-5,6,7,7,6,7,6,6,5,6,7,6,6,2,96,49,75
222,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,7,7,3,2,7,5,5,2,5,7,5,5,2,77,36,60
223,34-48,Female,Other British,PhD or other professional qualification,Fair,25-30,3,3,1,1,5,5,5,1,5,5,1,5,4,78,41,40
224,49-64,Non-binary / third gender,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,5,5,3,2,5,5,5,2,6,6,2,5,2,98,54,51
225,34-48, ,Scottish,Undergraduate Degree,Very Good,5-10,7,6,7,7,7,7,7,7,7,7,7,7,2,103,52,83
226,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,6,6,6,5,7,6,7,5,7,6,4,7,3,82,44,72
227,18-33,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,None,6,6,7,7,6,5,5,6,6,6,6,5,4,96,46,71
228,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Fair,10-15,7,7,4,2,7,7,7,2,7,7,3,7,4,107,37,67
229,18-33, ,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,5,6,6,5,4,6,6,5,6,4,5,6,2,109,57,64
230,34-48, ,"African, African Scottish or African British",Undergraduate Degree,Very Good,None,5,5,5,5,5,7,7,5,7,1,6,6,2,90,40,64
232,34-48, ,Other white ethnic group,"Postgraduate Qualification, Masters",Good,5-10,7,7,7,7,7,7,7,7,7,7,7,7,3,100,45,84
233,18-33,Female,Irish,Undergraduate Degree,Good,5-10,7,7,7,7,7,6,5,7,6,7,6,5,3,106,38,77
234,34-48,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,5-10,7,7,5,3,7,7,7,3,7,7,4,7,3,102,59,71
235,18-33,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,4,5,6,4,2,6,5,3,6,5,5,5,2,83,50,56
236,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,7,7,7,6,7,6,6,5,7,7,7,7,3,91,53,79
237,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,5-10,4,4,2,2,3,3,4,2,4,5,2,3,3,96,50,38
238,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,2,116,70,84
239,18-33,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,5,5,6,5,4,5,6,5,6,4,3,6,2,115,50,60
240,18-33,Female,Other white ethnic group,Undergraduate Degree,Good,0-5,7,7,5,6,7,6,6,6,6,6,6,5,3,114,51,73
241,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,5-10,5,2,5,5,7,6,5,5,7,5,6,4,2,77,34,62
242,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Excellent,0-5,6,6,7,7,5,6,6,7,6,5,6,7,1,99,40,74
243,18-33,Male,Irish,"Postgraduate Qualification, Masters",Very Good,0-5,2,3,4,6,4,3,5,5,3,5,4,4,2,74,44,48
244,18-33,Female,Other British,Undergraduate Degree,Very Good,None,7,6,7,7,6,6,6,6,6,6,7,7,2,91,44,77
245,18-33, ,Scottish, ,Very Good,None,7,7,5,5,7,6,6,6,7,7,5,7,2,100,52,75
246,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,5,3,3,2,2,5,5,3,5,4,5,5,2,84,46,47
247,18-33,Non-binary / third gender,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,6,6,7,6,6,6,6,5,6,6,7,6,2,103,52,73
248,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,0-5,7,7,6,4,7,7,7,5,7,6,5,6,2,112,51,74
249,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Fair,5-10,5,5,6,6,5,7,6,6,6,5,5,6,4,104,47,68
250,49-64,Female,Other British,Undergraduate Degree,Good,0-5,3,4,4,4,4,5,5,3,4,5,3,5,3,90,39,49
251,34-48, ,"Chinese, Chinese Scottish or Chinese British", ,Good,0-5,6,6,6,6,6,6,5,6,6,6,6,6,3,97,42,71
252,18-33, ,Other (not listed),Undergraduate Degree,Very Good,None,7,5,7,6,5,7,7,7,7,7,7,6,2,115,59,78
253,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,5-10,6,6,6,6,6,7,7,7,7,6,5,7,3,112,63,76
254,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,15-20,2,1,2,3,3,2,1,2,1,1,3,1,3,96,48,22
255,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,5,4,5,6,5,4,5,6,5,5,6,5,3,81,44,61
256,18-33,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Good,0-5,6,6,7,7,6,6,6,7,6,6,7,6,3,103,49,76
257,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,5-10,7,7,6,5,7,7,7,6,7,7,7,7,2,114,51,80
258,18-33,Male,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,4,5,7,6,6,4,5,6,5,5,6,5,1,102,48,64
259,18-33,Female,Scottish,"Postgraduate Qualification, Masters",Good,5-10,7,7,5,5,7,4,3,5,3,7,5,3,3,94,40,61
260,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,15-20,5,5,6,6,6,5,5,5,5,5,5,5,3,96,53,63
261,34-48,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,2,97,58,84
262,34-48,Female,Other white ethnic group,Undergraduate Degree,Very Good,None,7,7,7,7,7,7,7,7,7,7,7,7,2,111,52,84
263,18-33,Male,Other (not listed),Undergraduate Degree,Fair,None,6,6,7,7,6,4,5,5,5,6,7,5,4,102,37,69
264,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,6,6,7,7,6,7,7,7,7,7,7,7,3,108,56,81
265,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,25-30,6,5,1,7,4,6,6,6,6,7,7,7,4,88,36,68
266,18-33,Female,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,Excellent,None,7,7,7,7,7,6,5,7,5,7,7,7,1,114,57,79
267,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,5-10,5,5,7,7,5,6,6,6,6,5,4,7,3,101,48,69
268,18-33, ,"African, African Scottish or African British","Postgraduate Qualification, Masters",Good,5-10,6,6,3,2,6,6,6,2,6,6,4,5,3,81,37,58
269,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,6,6,6,3,6,7,4,2,6,7,7,7,3,110,42,67
270,34-48, ,Other white ethnic group,Undergraduate Degree,Poor,25-30,5,5,3,2,5,5,5,2,5,6,1,1,5,97,48,45
271,18-33,Non-binary / third gender,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,5-10,7,7,7,5,7,7,6,4,6,7,6,6,3,108,50,75
272,18-33,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,6,6,6,6,6,6,6,6,6,6,6,6,4,104,51,72
273,18-33,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Very Good,0-5,6,7,7,7,2,7,7,6,6,1,7,6,2,108,35,69
274,18-33,Non-binary / third gender,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Fair,20-25,6,6,2,3,5,5,5,4,6,7,2,7,4,83,29,58
275,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,20-25,5,5,6,1,5,6,6,2,5,6,7,3,4,72,40,57
276,34-48,Female,Scottish,Undergraduate Degree,Good,0-5,6,6,6,4,6,6,6,4,6,6,5,6,3,72,31,67
277,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Fair,5-10,4,5,6,3,2,2,3,1,5,5,7,4,4,67,43,47
278,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,7,5,7,6,3,6,6,7,6,4,5,7,3,102,57,69
279,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,6,5,5,3,5,5,5,4,5,5,5,5,3,67,42,58
280, , , , ,Very Good,5-10,6,6,4,4,5,5,6,5,6,4,5,6,2,101,45,62
281,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,5,6,4,3,5,5,4,2,5,4,4,5,2,67,34,52
283,18-33,Female,Other (not listed),Undergraduate Degree,Good,None,6,6,6,6,6,6,6,6,6,6,6,6,3,104,55,72
